state,state_name,population
AL,Alabama,"4,903,185"
AK,Alaska,"731,545"
AZ,Arizona,"7,278,717"
AR,Arkansas,"3,017,804"
CA,California,"39,512,223"
CO,Colorado,"5,758,736"
CT,Connecticut,"3,565,287"
DE,Delaware,"973,764"
DC,District of Columbia,"705,749"
FL,Florida,"21,477,737"
GA,Georgia,"10,617,423"
HI,Hawaii,"1,415,872"
ID,Idaho,"1,787,065"
IL,Illinois,"12,671,821"
IN,Indiana,"6,732,219"
IA,Iowa,"3,155,070"
KS,Kansas,"2,913,314"
KY,Kentucky,"4,467,673"
LA,Louisiana,"4,648,794"
ME,Maine,"1,344,212"
MT,Maryland,"6,045,680"
NE,Massachusetts,"6,892,503"
NV,Michigan,"9,986,857"
NH,Minnesota,"5,639,632"
NJ,Mississippi,"2,976,149"
NM,Missouri,"6,137,428"
NY,Montana,"1,068,778"
NC,Nebraska,"1,934,408"
ND,Nevada,"3,080,156"
OH,New Hampshire,"1,359,711"
OK,New Jersey,"8,882,190"
OR,New Mexico,"2,096,829"
MD,New York,"19,453,561"
MA,North Carolina,"10,488,084"
MI,North Dakota,"762,062"
MN,Ohio,"11,689,100"
MS,Oklahoma,"3,956,971"
MO,Oregon,"4,217,737"
PA,Pennsylvania,"12,801,989"
RI,Rhode Island,"1,059,361"
SC,South Carolina,"5,148,714"
SD,South Dakota,"884,659"
TN,Tennessee,"6,829,174"
TX,Texas,"28,995,881"
UT,Utah,"3,205,958"
VT,Vermont,"623,989"
VA,Virginia,"8,535,519"
WA,Washington,"7,614,893"
WV,West Virginia,"1,792,147"
WI,Wisconsin,"5,822,434"
WY,Wyoming,"578,759"
